word,decade_start,frequency,semantic_change,polysemy
cité,1810s,133,1.0495809363228332,0.7790039165303232
aspect,1810s,178,0.9989862259567636,0.7966901065786313
homme,1810s,3304,0.9575157292534172,0.7073763723859922
dû,1810s,380,0.9759385005868462,0.7732364218021822
sentir,1810s,155,1.054618011046538,0.8080027569949146
crime,1810s,347,0.994716984489015,0.7749831058424247
mal,1810s,740,0.9619395704767486,0.7658340898168854
exprimer,1810s,136,0.9917441871863149,0.7832138893555489
cacher,1810s,396,0.9781849254237348,0.7873370388460824
mémoire,1810s,297,1.010527231907928,0.8082848579038204
pièces,1810s,135,0.910825847883896,0.7774918348586932
vendre,1810s,107,0.9070324463241776,0.7773368083246688
présenta,1810s,250,1.042623490067116,0.7749705537492728
vice,1810s,135,0.9688039490350528,0.7682168461068797
haut,1810s,339,1.0335336633756895,0.7773848656355982
changement,1810s,163,0.9459200365890034,0.7999815534319311
naître,1810s,257,0.9188816762506596,0.7970000643072771
proposition,1810s,175,0.9747162776937331,0.8145950125230742
témoigner,1810s,179,1.023863251853446,0.7651479258786595
reçu,1810s,586,1.0825439837752595,0.7640178630191657
livre,1810s,166,1.075647703634345,0.7850572136706315
douceur,1810s,197,0.982492555717676,0.7941983887534511
note,1810s,151,0.9470578409304562,0.7913037078896132
chagrin,1810s,386,0.9809344169284298,0.7497286810551015
frappé,1810s,172,0.960889636854666,0.7753757049291565
résister,1810s,135,1.058431671510554,0.797591279361584
expressions,1810s,107,0.9837254892955464,0.810498273550116
demanda,1810s,1063,1.1309792005952706,0.7444643778788202
soupçons,1810s,226,1.0665194750687093,0.7432167740739359
fixer,1810s,152,0.9820099496369668,0.8018872147336511
remplir,1810s,254,0.9521761319082396,0.7857035310717054
trouble,1810s,247,1.0367752816169409,0.7844285727352059
