word,semantic_change,frequency,polysemy
enverrai,1.078269980063266,390.1666666666667,0.6644235585136258
chaumes,1.0781746058804846,236.0,0.738894180079198
tiphaine,1.0780772378002046,1392.0,0.5664469764133991
acolyte,1.0780492848673118,157.0,0.7064481966278529
grenelle,1.077937099394057,241.5,0.5196267416862357
imposent,1.077892077453691,127.0,0.6904768305011615
odieusement,1.0778667795498178,144.0,0.6779383572483697
insistai,1.0777767760612629,126.0,0.65106868104697
refusais,1.077656980823474,158.0,0.4996852092806794
créoles,1.077600637088579,257.0,0.5812638619955541
vendrai,1.0775619069066937,150.5,0.6858322249955722
épouserais,1.077495808037938,166.0,0.4865000429577396
pourparlers,1.0774667109875815,165.0,0.7312938151429682
tanière,1.0774555614384789,144.0,0.7230075793007339
limes,1.077358762589825,109.0,0.69489208016892
peyrade,1.0773494623675,916.0,0.5078422345671965
variée,1.0772096142831276,182.0,0.7203475547517509
réjouissant,1.077159523693288,152.0,0.7345094316707106
mentor,1.0770642379066613,116.0,0.7537912800538031
démonté,1.0770515094113988,110.0,0.7246507192005786
piqueurs,1.0770452155928492,188.66666666666666,0.6379880408136532
molly,1.0770307049837151,290.0,0.5287771477217625
czar,1.077003299624255,580.6666666666666,0.5005651936489844
galets,1.0769562755688218,241.66666666666666,0.6819461057269596
prostituée,1.0768220141041707,148.5,0.7257619795762087
partirais,1.0767565412244198,124.0,0.4477906222601516
lettrés,1.076615616557001,126.0,0.5751736216804735
tenable,1.0766113280175529,169.0,0.6890487203728466
patrice,1.0765873854565202,1239.0,0.5970433973354947
obligeamment,1.0764836126387969,158.0,0.6937106315739956
dandelot,1.0764812990059929,528.0,0.6138313074825057
bavette,1.0764807339528584,493.0,0.5705092892147299
ais,1.0764090348361894,175.0,0.7471412908200636
plaçait,1.0762816962546753,395.1666666666667,0.7670450099998073
instruisait,1.0762289687458724,108.0,0.7209791540537164
ruinait,1.0760603831736435,137.0,0.6130700760207283
addition,1.076031777203897,191.5,0.7008412091423011
gervaise,1.0759594866213027,1318.0,0.49911322354775756
jardinières,1.0759224705279256,204.0,0.6061058421982418
triomphants,1.0759210004115372,107.0,0.7226907086797952
huret,1.0758582455573347,1391.0,0.5542603086040582
enchevêtrement,1.075758850835589,101.0,0.669473255153165
ventres,1.0756972900744788,264.0,0.7241992960890652
inusité,1.0756934939149825,154.0,0.7195111196494156
brigandage,1.0756683956102395,105.0,0.7311972526967552
poursuivirent,1.0755914986311716,101.0,0.7384066553126671
